,entity,tag,sample
2199,cup,B-UNIT,68
2200,sun-dried,B-FOOD,68
2201,tomato,I-FOOD,68
2202,chopped,B-PROCESS,68
2203,2,B-QUANTITY,68
2204,tablespoons,B-UNIT,68
2205,sour,B-FOOD,68
2206,cream,I-FOOD,68
2207,medium,B-PHYSICAL_QUALITY,68
2208,green,B-COLOR,68
2209,onions,B-FOOD,68
2210,chopped,B-PROCESS,68
2211,2,B-QUANTITY,68
2212,packages,B-UNIT,68
2213,frozen,B-FOOD,68
2214,puff,I-FOOD,68
2215,for,B-PURPOSE,68
2216,serving,I-PURPOSE,68
2217,can,B-UNIT,68
2218,cherry,B-FOOD,68
2219,pie,I-FOOD,68
2220,cheddar,B-FOOD,68
2221,cheese,I-FOOD,68
2222,cups,B-UNIT,68
2223,cooked,B-PROCESS,68
2224,vegetables,B-FOOD,68
2225,4,B-QUANTITY,69
2226,boneless,B-PHYSICAL_QUALITY,69
2227,pork,B-FOOD,69
2228,regular-thick,B-PHYSICAL_QUALITY,69
2229,not,B-PHYSICAL_QUALITY,69
2230,thin-,I-PHYSICAL_QUALITY,69
2231,14.5,B-QUANTITY,69
2232,ounces,B-UNIT,69
2233,low,B-PHYSICAL_QUALITY,69
2234,chicken,B-FOOD,69
2235,broth,I-FOOD,69
2236,packet,B-UNIT,69
2237,seasoning,B-FOOD,69
2238,onion,B-FOOD,69
2239,soup,I-FOOD,69
2240,tablespoons,B-UNIT,69
2241,cornstarch,B-FOOD,69
2242,1/4,B-QUANTITY,69
2243,cup,B-UNIT,69
2244,water,B-FOOD,69
2245,onions,B-FOOD,69
2246,chopped,B-PROCESS,69
2247,2,B-QUANTITY,69
2248,packages,B-UNIT,69
2249,frozen,B-FOOD,69
2250,puff,I-FOOD,69
2251,for,B-PURPOSE,69
2252,serving,I-PURPOSE,69
2253,can,B-UNIT,69
2254,cherry,B-FOOD,69
2255,pie,I-FOOD,69
2256,cheddar,B-FOOD,69
2257,cheese,I-FOOD,69
2258,cups,B-UNIT,69
2259,cooked,B-PROCESS,69
2260,vegetables,B-FOOD,69
2261,16,B-QUANTITY,70
2262,ounces,B-UNIT,70
2263,flour,B-FOOD,70
2264,4,B-QUANTITY,70
2265,ounces,B-UNIT,70
2266,sugar,B-FOOD,70
2267,4,B-QUANTITY,70
2268,ounces,B-UNIT,70
2269,butter,B-FOOD,70
2270,1,B-QUANTITY,70
2271,banana,B-FOOD,70
2272,mashed,B-PROCESS,70
2273,cut,B-PROCESS,70
2274,up,I-PROCESS,70
2275,teaspoon,B-UNIT,70
2276,vanilla,B-FOOD,70
2277,essence,I-FOOD,70
2278,1/4,B-QUANTITY,70
2279,cup,B-UNIT,70
2280,water,B-FOOD,70
2281,onions,B-FOOD,70
2282,chopped,B-PROCESS,70
2283,2,B-QUANTITY,70
2284,packages,B-UNIT,70
2285,frozen,B-FOOD,70
2286,puff,I-FOOD,70
2287,for,B-PURPOSE,70
2288,serving,I-PURPOSE,70
2289,can,B-UNIT,70
2290,cherry,B-FOOD,70
2291,pie,I-FOOD,70
2292,cheddar,B-FOOD,70
2293,cheese,I-FOOD,70
2294,cups,B-UNIT,70
2295,cooked,B-PROCESS,70
2296,vegetables,B-FOOD,70
2297,1,B-QUANTITY,71
2298,avocado,B-FOOD,71
2299,diced,B-PROCESS,71
2300,1,B-QUANTITY,71
2301,cup,B-UNIT,71
2302,cherry,B-FOOD,71
2303,finely,B-PROCESS,71
2304,chopped,I-PROCESS,71
2305,medium,B-PHYSICAL_QUALITY,71
2306,red,B-COLOR,71
2307,onion,B-FOOD,71
2308,thinly,B-PROCESS,71
2309,sliced,I-PROCESS,71
2310,lime,B-FOOD,71
2311,juiced,B-PROCESS,71
2312,salt,B-FOOD,71
2313,to,B-PURPOSE,71
2314,taste,I-PURPOSE,71
2315,tablespoons,B-UNIT,71
2316,fresh,B-PHYSICAL_QUALITY,71
2317,parsley,B-FOOD,71
2318,chopped,B-PROCESS,71
2319,2,B-QUANTITY,71
2320,packages,B-UNIT,71
2321,frozen,B-FOOD,71
2322,puff,I-FOOD,71
2323,for,B-PURPOSE,71
2324,serving,I-PURPOSE,71
2325,can,B-UNIT,71
2326,cherry,B-FOOD,71
2327,pie,I-FOOD,71
2328,cheddar,B-FOOD,71
2329,cheese,I-FOOD,71
2330,cups,B-UNIT,71
2331,cooked,B-PROCESS,71
2332,vegetables,B-FOOD,71
2333,8,B-QUANTITY,72
2334,-10,I-QUANTITY,72
2335,double-strong,B-PHYSICAL_QUALITY,72
2336,coffee,B-FOOD,72
2337,cold,B-PHYSICAL_QUALITY,72
2338,1,B-QUANTITY,72
2339,-2,I-QUANTITY,72
2340,milk,B-FOOD,72
2341,1,B-QUANTITY,72
2342,-2,I-QUANTITY,72
2343,cream,B-FOOD,72
2344,to,B-PURPOSE,72
2345,taste,I-PURPOSE,72
2346,1,B-QUANTITY,72
2347,g,B-UNIT,72
2348,packet,B-UNIT,72
2349,sugar,B-FOOD,72
2350,to,B-PURPOSE,72
2351,or,B-QUANTITY,72
2352,more,I-QUANTITY,72
2353,teaspoon,B-UNIT,72
2354,vanilla,B-FOOD,72
2355,extract,I-FOOD,72
2356,packages,B-UNIT,72
2357,frozen,B-FOOD,72
2358,puff,I-FOOD,72
2359,for,B-PURPOSE,72
2360,serving,I-PURPOSE,72
2361,can,B-UNIT,72
2362,cherry,B-FOOD,72
2363,pie,I-FOOD,72
2364,cheddar,B-FOOD,72
2365,cheese,I-FOOD,72
2366,cups,B-UNIT,72
2367,cooked,B-PROCESS,72
2368,vegetables,B-FOOD,72
2369,3,B-QUANTITY,73
2370,tablespoons,B-UNIT,73
2371,cake,B-FOOD,73
2372,mix,I-FOOD,73
2373,tablespoon,B-UNIT,73
2374,pumpkin,B-FOOD,73
2375,puree,I-FOOD,73
2376,tablespoon,B-UNIT,73
2377,water,B-FOOD,73
2378,1/2,B-QUANTITY,73
2379,teaspoon,B-UNIT,73
2380,pumpkin,B-FOOD,73
2381,pie,I-FOOD,73
2382,1,B-QUANTITY,73
2383,g,B-UNIT,73
2384,packet,B-UNIT,73
2385,sugar,B-FOOD,73
2386,to,B-PURPOSE,73
2387,or,B-QUANTITY,73
2388,more,I-QUANTITY,73
2389,teaspoon,B-UNIT,73
2390,vanilla,B-FOOD,73
2391,extract,I-FOOD,73
2392,packages,B-UNIT,73
2393,frozen,B-FOOD,73
2394,puff,I-FOOD,73
2395,for,B-PURPOSE,73
2396,serving,I-PURPOSE,73
2397,can,B-UNIT,73
2398,cherry,B-FOOD,73
2399,pie,I-FOOD,73
2400,cheddar,B-FOOD,73
2401,cheese,I-FOOD,73
2402,cups,B-UNIT,73
2403,cooked,B-PROCESS,73
2404,vegetables,B-FOOD,73
2405,1,B-QUANTITY,74
2406,3,B-QUANTITY,74
2407,lb,B-UNIT,74
2408,box,B-UNIT,74
2409,kosher,B-FOOD,74
2410,4,B-QUANTITY,74
2411,-6,I-QUANTITY,74
2412,prime,B-FOOD,74
2413,rib,I-FOOD,74
2414,1/2,B-QUANTITY,74
2415,teaspoon,B-UNIT,74
2416,pumpkin,B-FOOD,74
2417,pie,I-FOOD,74
2418,1,B-QUANTITY,74
2419,g,B-UNIT,74
2420,packet,B-UNIT,74
2421,sugar,B-FOOD,74
2422,to,B-PURPOSE,74
2423,or,B-QUANTITY,74
2424,more,I-QUANTITY,74
2425,teaspoon,B-UNIT,74
2426,vanilla,B-FOOD,74
2427,extract,I-FOOD,74
2428,packages,B-UNIT,74
2429,frozen,B-FOOD,74
2430,puff,I-FOOD,74
2431,for,B-PURPOSE,74
2432,serving,I-PURPOSE,74
2433,can,B-UNIT,74
2434,cherry,B-FOOD,74
2435,pie,I-FOOD,74
2436,cheddar,B-FOOD,74
2437,cheese,I-FOOD,74
2438,cups,B-UNIT,74
2439,cooked,B-PROCESS,74
2440,vegetables,B-FOOD,74
2441,1,B-QUANTITY,75
2442,ounce,B-UNIT,75
2443,vodka,B-FOOD,75
2444,2,B-QUANTITY,75
2445,ounces,B-UNIT,75
2446,cream,B-FOOD,75
2447,Irish,B-FOOD,75
2448,4,B-QUANTITY,75
2449,ounces,B-UNIT,75
2450,espresso,B-FOOD,75
2451,prepared,B-PROCESS,75
2452,pumpkin,B-FOOD,75
2453,pie,I-FOOD,75
2454,1,B-QUANTITY,75
2455,g,B-UNIT,75
2456,packet,B-UNIT,75
2457,sugar,B-FOOD,75
2458,to,B-PURPOSE,75
2459,or,B-QUANTITY,75
2460,more,I-QUANTITY,75
2461,teaspoon,B-UNIT,75
2462,vanilla,B-FOOD,75
2463,extract,I-FOOD,75
2464,packages,B-UNIT,75
2465,frozen,B-FOOD,75
2466,puff,I-FOOD,75
2467,for,B-PURPOSE,75
2468,serving,I-PURPOSE,75
2469,can,B-UNIT,75
2470,cherry,B-FOOD,75
2471,pie,I-FOOD,75
2472,cheddar,B-FOOD,75
2473,cheese,I-FOOD,75
2474,cups,B-UNIT,75
2475,cooked,B-PROCESS,75
2476,vegetables,B-FOOD,75
2477,red,B-COLOR,76
2478,apple,B-FOOD,76
2479,wash,B-PROCESS,76
2480,do,B-PROCESS,76
2481,peanut,B-FOOD,76
2482,butter,I-FOOD,76
2483,chunky,B-PHYSICAL_QUALITY,76
2484,miniature,B-PHYSICAL_QUALITY,76
2485,marshmallow,B-FOOD,76
2486,espresso,B-FOOD,76
2487,prepared,B-PROCESS,76
2488,pumpkin,B-FOOD,76
2489,pie,I-FOOD,76
2490,1,B-QUANTITY,76
2491,g,B-UNIT,76
2492,packet,B-UNIT,76
2493,sugar,B-FOOD,76
2494,to,B-PURPOSE,76
2495,or,B-QUANTITY,76
2496,more,I-QUANTITY,76
2497,teaspoon,B-UNIT,76
2498,vanilla,B-FOOD,76
2499,extract,I-FOOD,76
2500,packages,B-UNIT,76
2501,frozen,B-FOOD,76
2502,puff,I-FOOD,76
2503,for,B-PURPOSE,76
2504,serving,I-PURPOSE,76
2505,can,B-UNIT,76
2506,cherry,B-FOOD,76
2507,pie,I-FOOD,76
2508,cheddar,B-FOOD,76
2509,cheese,I-FOOD,76
2510,cups,B-UNIT,76
2511,cooked,B-PROCESS,76
2512,vegetables,B-FOOD,76
2513,2,B-QUANTITY,77
2514,ounces,B-UNIT,77
2515,Midori,B-FOOD,77
2516,melon,I-FOOD,77
2517,ounces,B-UNIT,77
2518,coconut,B-FOOD,77
2519,milk,I-FOOD,77
2520,ounce,B-UNIT,77
2521,coconut,B-FOOD,77
2522,rum,I-FOOD,77
2523,ounces,B-UNIT,77
2524,pineapple,B-FOOD,77
2525,juice,I-FOOD,77
2526,maraschino,B-FOOD,77
2527,cherry,I-FOOD,77
2528,packet,B-UNIT,77
2529,sugar,B-FOOD,77
2530,to,B-PURPOSE,77
2531,or,B-QUANTITY,77
2532,more,I-QUANTITY,77
2533,teaspoon,B-UNIT,77
2534,vanilla,B-FOOD,77
2535,extract,I-FOOD,77
2536,packages,B-UNIT,77
2537,frozen,B-FOOD,77
2538,puff,I-FOOD,77
2539,for,B-PURPOSE,77
2540,serving,I-PURPOSE,77
2541,can,B-UNIT,77
2542,cherry,B-FOOD,77
2543,pie,I-FOOD,77
2544,cheddar,B-FOOD,77
2545,cheese,I-FOOD,77
2546,cups,B-UNIT,77
2547,cooked,B-PROCESS,77
2548,vegetables,B-FOOD,77
2549,8,B-QUANTITY,78
2550,sun,B-FOOD,78
2551,fish,I-FOOD,78
2552,1,B-QUANTITY,78
2553,cup,B-UNIT,78
2554,buttermilk,B-FOOD,78
2555,2,B-QUANTITY,78
2556,teaspoons,B-UNIT,78
2557,california,B-FOOD,78
2558,garlic,I-FOOD,78
2559,teaspoon,B-UNIT,78
2560,paprika,B-FOOD,78
2561,1⁄2,B-QUANTITY,78
2562,teaspoon,B-UNIT,78
2563,black,B-COLOR,78
2564,pepper,B-FOOD,78
2565,1⁄2,B-QUANTITY,78
2566,cup,B-UNIT,78
2567,panko,B-FOOD,78
2568,breadcrumbs,I-FOOD,78
2569,sprays,B-UNIT,78
2570,butter-flavored,B-TASTE,78
2571,cooking,B-FOOD,78
2572,spray,I-FOOD,78
2573,frozen,B-FOOD,78
2574,puff,I-FOOD,78
2575,for,B-PURPOSE,78
2576,serving,I-PURPOSE,78
2577,can,B-UNIT,78
2578,cherry,B-FOOD,78
2579,pie,I-FOOD,78
2580,cheddar,B-FOOD,78
2581,cheese,I-FOOD,78
2582,cups,B-UNIT,78
2583,cooked,B-PROCESS,78
2584,vegetables,B-FOOD,78
2585,1⁄2,B-QUANTITY,79
2586,ounce,B-UNIT,79
2587,Amaretto,B-FOOD,79
2588,1⁄2,B-QUANTITY,79
2589,ounce,B-UNIT,79
2590,grenadine,B-FOOD,79
2591,1⁄2,B-QUANTITY,79
2592,ounce,B-UNIT,79
2593,melon,B-FOOD,79
2594,liqueur,I-FOOD,79
2595,3,B-QUANTITY,79
2596,ounces,B-UNIT,79
2597,orange,B-FOOD,79
2598,juice,I-FOOD,79
2599,ounces,B-UNIT,79
2600,pineapple,B-FOOD,79
2601,juice,I-FOOD,79
2602,ounce,B-UNIT,79
2603,Southern,B-FOOD,79
2604,Comfort,I-FOOD,79
2605,sprays,B-UNIT,79
2606,butter-flavored,B-TASTE,79
2607,cooking,B-FOOD,79
2608,spray,I-FOOD,79
2609,frozen,B-FOOD,79
2610,puff,I-FOOD,79
2611,for,B-PURPOSE,79
2612,serving,I-PURPOSE,79
2613,can,B-UNIT,79
2614,cherry,B-FOOD,79
2615,pie,I-FOOD,79
2616,cheddar,B-FOOD,79
2617,cheese,I-FOOD,79
2618,cups,B-UNIT,79
2619,cooked,B-PROCESS,79
2620,vegetables,B-FOOD,79
2621,1,B-QUANTITY,80
2622,1⁄2,I-QUANTITY,80
2623,rum,B-FOOD,80
2624,1⁄4,B-QUANTITY,80
2625,ounce,B-UNIT,80
2626,apricot,B-FOOD,80
2627,brandy,I-FOOD,80
2628,ounce,B-UNIT,80
2629,creme,B-FOOD,80
2630,de,I-FOOD,80
2631,ounces,B-UNIT,80
2632,pineapple,B-FOOD,80
2633,juice,I-FOOD,80
2634,ounce,B-UNIT,80
2635,orange,B-FOOD,80
2636,juice,I-FOOD,80
2637,dash,B-UNIT,80
2638,Galliano,B-FOOD,80
2639,Southern,B-FOOD,80
2640,Comfort,I-FOOD,80
2641,sprays,B-UNIT,80
2642,butter-flavored,B-TASTE,80
2643,cooking,B-FOOD,80
2644,spray,I-FOOD,80
2645,frozen,B-FOOD,80
2646,puff,I-FOOD,80
2647,for,B-PURPOSE,80
2648,serving,I-PURPOSE,80
2649,can,B-UNIT,80
2650,cherry,B-FOOD,80
2651,pie,I-FOOD,80
2652,cheddar,B-FOOD,80
2653,cheese,I-FOOD,80
2654,cups,B-UNIT,80
2655,cooked,B-PROCESS,80
2656,vegetables,B-FOOD,80
2657,1/2,B-QUANTITY,81
2658,tablespoon,B-UNIT,81
2659,butter,B-FOOD,81
2660,1,B-QUANTITY,81
2661,1/2,I-QUANTITY,81
2662,chocolate,B-FOOD,81
2663,chips,I-FOOD,81
2664,milk,B-FOOD,81
2665,a,B-FOOD,81
2666,combo,I-FOOD,81
2667,jumbo,B-FOOD,81
2668,marshmallows,I-FOOD,81
2669,graham,B-FOOD,81
2670,cracker,I-FOOD,81
2671,orange,B-FOOD,81
2672,juice,I-FOOD,81
2673,dash,B-UNIT,81
2674,Galliano,B-FOOD,81
2675,Southern,B-FOOD,81
2676,Comfort,I-FOOD,81
2677,sprays,B-UNIT,81
2678,butter-flavored,B-TASTE,81
2679,cooking,B-FOOD,81
2680,spray,I-FOOD,81
2681,frozen,B-FOOD,81
2682,puff,I-FOOD,81
2683,for,B-PURPOSE,81
2684,serving,I-PURPOSE,81
2685,can,B-UNIT,81
2686,cherry,B-FOOD,81
2687,pie,I-FOOD,81
2688,cheddar,B-FOOD,81
2689,cheese,I-FOOD,81
2690,cups,B-UNIT,81
2691,cooked,B-PROCESS,81
2692,vegetables,B-FOOD,81
2693,fudge,B-FOOD,82
2694,vanilla,B-FOOD,82
2695,about,B-QUANTITY,82
2696,2,I-QUANTITY,82
2697,1/4,B-QUANTITY,82
2698,cup,B-UNIT,82
2699,milk,B-FOOD,82
2700,more,B-UNIT,82
2701,if,I-UNIT,82
2702,graham,B-FOOD,82
2703,cracker,I-FOOD,82
2704,1/4,B-QUANTITY,82
2705,chocolate,B-FOOD,82
2706,bar,B-UNIT,82
2707,Milk,B-FOOD,82
2708,chopped,B-PROCESS,82
2709,1/4,B-QUANTITY,82
2710,cup,B-UNIT,82
2711,mini,B-PHYSICAL_QUALITY,82
2712,marshmallows,B-FOOD,82
2713,larger,B-PHYSICAL_QUALITY,82
2714,marshmallows,B-FOOD,82
2715,torn,B-PROCESS,82
2716,into,I-PROCESS,82
2717,frozen,B-FOOD,82
2718,puff,I-FOOD,82
2719,for,B-PURPOSE,82
2720,serving,I-PURPOSE,82
2721,can,B-UNIT,82
2722,cherry,B-FOOD,82
2723,pie,I-FOOD,82
2724,cheddar,B-FOOD,82
2725,cheese,I-FOOD,82
2726,cups,B-UNIT,82
2727,cooked,B-PROCESS,82
2728,vegetables,B-FOOD,82
2729,2,B-QUANTITY,83
2730,ounces,B-UNIT,83
2731,orange,B-FOOD,83
2732,juice,I-FOOD,83
2733,ounces,B-UNIT,83
2734,pineapple,B-FOOD,83
2735,juice,I-FOOD,83
2736,ounce,B-UNIT,83
2737,Galliano,B-FOOD,83
2738,1⁄4,B-QUANTITY,83
2739,ounce,B-UNIT,83
2740,banana,B-FOOD,83
2741,1,B-QUANTITY,83
2742,1⁄4,I-QUANTITY,83
2743,light,B-PHYSICAL_QUALITY,83
2744,rum,B-FOOD,83
2745,1/4,B-QUANTITY,83
2746,cup,B-UNIT,83
2747,mini,B-PHYSICAL_QUALITY,83
2748,marshmallows,B-FOOD,83
2749,larger,B-PHYSICAL_QUALITY,83
2750,marshmallows,B-FOOD,83
2751,torn,B-PROCESS,83
2752,into,I-PROCESS,83
2753,frozen,B-FOOD,83
2754,puff,I-FOOD,83
2755,for,B-PURPOSE,83
2756,serving,I-PURPOSE,83
2757,can,B-UNIT,83
2758,cherry,B-FOOD,83
2759,pie,I-FOOD,83
2760,cheddar,B-FOOD,83
2761,cheese,I-FOOD,83
2762,cups,B-UNIT,83
2763,cooked,B-PROCESS,83
2764,vegetables,B-FOOD,83
2765,1,B-QUANTITY,84
2766,tablespoon,B-UNIT,84
2767,butter,B-FOOD,84
2768,1,B-QUANTITY,84
2769,pound,B-UNIT,84
2770,white,B-COLOR,84
2771,fish,B-FOOD,84
2772,12,B-QUANTITY,84
2773,ounces,B-UNIT,84
2774,salad,B-FOOD,84
2775,1/3,B-QUANTITY,84
2776,cup,B-UNIT,84
2777,sundried,B-FOOD,84
2778,tomatoes,I-FOOD,84
2779,1,B-QUANTITY,84
2780,cup,B-UNIT,84
2781,baby,B-FOOD,84
2782,densely,B-PROCESS,84
2783,packed,I-PROCESS,84
2784,1,B-QUANTITY,84
2785,teaspoon,B-UNIT,84
2786,crushed,B-PROCESS,84
2787,garlic,B-FOOD,84
2788,2,B-QUANTITY,84
2789,tablespoons,B-UNIT,84
2790,capers,B-FOOD,84
2791,for,B-PURPOSE,84
2792,serving,I-PURPOSE,84
2793,can,B-UNIT,84
2794,cherry,B-FOOD,84
2795,pie,I-FOOD,84
2796,cheddar,B-FOOD,84
2797,cheese,I-FOOD,84
2798,cups,B-UNIT,84
2799,cooked,B-PROCESS,84
2800,vegetables,B-FOOD,84
2801,2,B-QUANTITY,85
2802,lb,B-UNIT,85
2803,yuca,B-FOOD,85
2804,cut,B-PROCESS,85
2805,into,I-PROCESS,85
2806,tablespoons,B-UNIT,85
2807,unsalted,B-TASTE,85
2808,butter,B-FOOD,85
2809,softened,B-PROCESS,85
2810,1,B-QUANTITY,85
2811,large,B-PHYSICAL_QUALITY,85
2812,egg,B-FOOD,85
2813,1,B-QUANTITY,85
2814,tablespoon,B-UNIT,85
2815,sugar,B-FOOD,85
2816,1,B-QUANTITY,85
2817,teaspoon,B-UNIT,85
2818,anise,B-FOOD,85
2819,seeds,I-FOOD,85
2820,teaspoon,B-UNIT,85
2821,kosher,B-FOOD,85
2822,salt,I-FOOD,85
2823,to,B-PURPOSE,85
2824,taste,I-PURPOSE,85
2825,cup,B-UNIT,85
2826,canola,B-FOOD,85
2827,for,B-PURPOSE,85
2828,frying,I-PURPOSE,85
2829,can,B-UNIT,85
2830,cherry,B-FOOD,85
2831,pie,I-FOOD,85
2832,cheddar,B-FOOD,85
2833,cheese,I-FOOD,85
2834,cups,B-UNIT,85
2835,cooked,B-PROCESS,85
2836,vegetables,B-FOOD,85
2837,2,B-QUANTITY,86
2838,cups,B-UNIT,86
2839,heavy,B-TASTE,86
2840,whipping,B-FOOD,86
2841,cream,I-FOOD,86
2842,cup,B-UNIT,86
2843,whole,B-PHYSICAL_QUALITY,86
2844,milk,B-FOOD,86
2845,3,B-QUANTITY,86
2846,large,B-PHYSICAL_QUALITY,86
2847,egg,B-FOOD,86
2848,yolks,B-PART,86
2849,1,B-QUANTITY,86
2850,cup,B-UNIT,86
2851,sugar,B-FOOD,86
2852,2,B-QUANTITY,86
2853,teaspoons,B-UNIT,86
2854,vanilla,B-FOOD,86
2855,1,B-QUANTITY,86
2856,teaspoon,B-UNIT,86
2857,kosher,B-FOOD,86
2858,salt,I-FOOD,86
2859,to,B-PURPOSE,86
2860,taste,I-PURPOSE,86
2861,cup,B-UNIT,86
2862,canola,B-FOOD,86
2863,for,B-PURPOSE,86
2864,frying,I-PURPOSE,86
2865,can,B-UNIT,86
2866,cherry,B-FOOD,86
2867,pie,I-FOOD,86
2868,cheddar,B-FOOD,86
2869,cheese,I-FOOD,86
2870,cups,B-UNIT,86
2871,cooked,B-PROCESS,86
2872,vegetables,B-FOOD,86
2873,6,B-QUANTITY,87
2874,ounces,B-UNIT,87
2875,low-sodium,B-PHYSICAL_QUALITY,87
2876,tuna,B-FOOD,87
2877,in,I-FOOD,87
2878,can,B-UNIT,87
2879,12,B-QUANTITY,87
2880,leaves,B-UNIT,87
2881,iceberg,B-FOOD,87
2882,lettuce,I-FOOD,87
2883,cup,B-UNIT,87
2884,diced,B-PROCESS,87
2885,tomato,B-FOOD,87
2886,1⁄2,B-QUANTITY,87
2887,cup,B-UNIT,87
2888,carrot,B-FOOD,87
2889,strands,B-PHYSICAL_QUALITY,87
2890,2,B-QUANTITY,87
2891,tablespoons,B-UNIT,87
2892,light,B-PHYSICAL_QUALITY,87
2893,mayonnaise,B-FOOD,87
2894,2,B-QUANTITY,87
2895,tablespoons,B-UNIT,87
2896,mustard,B-FOOD,87
2897,12,B-QUANTITY,87
2898,toothpicks,B-FOOD,87
2899,for,B-PURPOSE,87
2900,keeping,I-PURPOSE,87
2901,can,B-UNIT,87
2902,cherry,B-FOOD,87
2903,pie,I-FOOD,87
2904,cheddar,B-FOOD,87
2905,cheese,I-FOOD,87
2906,cups,B-UNIT,87
2907,cooked,B-PROCESS,87
2908,vegetables,B-FOOD,87
2909,4,B-QUANTITY,88
2910,-6,I-QUANTITY,88
2911,bacon,B-FOOD,88
2912,8,B-QUANTITY,88
2913,ounces,B-UNIT,88
2914,ranch,B-FOOD,88
2915,1,B-QUANTITY,88
2916,-2,I-QUANTITY,88
2917,clove,B-UNIT,88
2918,to,B-PURPOSE,88
2919,taste,I-PURPOSE,88
2920,1⁄4,B-QUANTITY,88
2921,cup,B-UNIT,88
2922,chopped,B-PROCESS,88
2923,fresh,B-PHYSICAL_QUALITY,88
2924,basil,B-FOOD,88
2925,1,B-QUANTITY,88
2926,large,B-PHYSICAL_QUALITY,88
2927,iceberg,B-FOOD,88
2928,cut,B-PROCESS,88
2929,into,I-PROCESS,88
2930,cup,B-UNIT,88
2931,crumbled,B-PROCESS,88
2932,blue,B-FOOD,88
2933,cheese,I-FOOD,88
2934,basil,B-FOOD,88
2935,to,B-PURPOSE,88
2936,garnish,I-PURPOSE,88
2937,can,B-UNIT,88
2938,cherry,B-FOOD,88
2939,pie,I-FOOD,88
2940,cheddar,B-FOOD,88
2941,cheese,I-FOOD,88
2942,cups,B-UNIT,88
2943,cooked,B-PROCESS,88
2944,vegetables,B-FOOD,88
2945,1,B-QUANTITY,89
2946,cup,B-UNIT,89
2947,rolled,B-FOOD,89
2948,oats,I-FOOD,89
2949,cup,B-UNIT,89
2950,pitted,B-PROCESS,89
2951,date,B-FOOD,89
2952,finely,B-PROCESS,89
2953,chopped,I-PROCESS,89
2954,cup,B-UNIT,89
2955,cocoa,B-FOOD,89
2956,powder,I-FOOD,89
2957,1/2,B-QUANTITY,89
2958,cup,B-UNIT,89
2959,almond,B-FOOD,89
2960,butter,I-FOOD,89
2961,teaspoons,B-UNIT,89
2962,pure,B-PHYSICAL_QUALITY,89
2963,vanilla,B-FOOD,89
2964,extract,I-FOOD,89
2965,pinch,B-UNIT,89
2966,grated,B-PROCESS,89
2967,nutmeg,B-FOOD,89
2968,1,B-QUANTITY,89
2969,pinch,B-UNIT,89
2970,ground,B-PROCESS,89
2971,cinnamon,B-FOOD,89
2972,ounce,B-UNIT,89
2973,can,B-UNIT,89
2974,cherry,B-FOOD,89
2975,pie,I-FOOD,89
2976,cheddar,B-FOOD,89
2977,cheese,I-FOOD,89
2978,cups,B-UNIT,89
2979,cooked,B-PROCESS,89
2980,vegetables,B-FOOD,89
2981,1,B-QUANTITY,90
2982,beef,B-FOOD,90
2983,roast,I-FOOD,90
2984,packages,B-UNIT,90
2985,onion,B-FOOD,90
2986,soup,I-FOOD,90
2987,cups,B-UNIT,90
2988,water,B-FOOD,90
2989,10,B-QUANTITY,90
2990,potatoes,B-FOOD,90
2991,small,B-PHYSICAL_QUALITY,90
2992,redskin,B-COLOR,90
2993,1,B-QUANTITY,90
2994,pound,B-UNIT,90
2995,baby,B-PHYSICAL_QUALITY,90
2996,carrots,B-FOOD,90
2997,teaspoons,B-UNIT,90
2998,pure,B-PHYSICAL_QUALITY,90
2999,vanilla,B-FOOD,90
3000,extract,I-FOOD,90
3001,pinch,B-UNIT,90
3002,grated,B-PROCESS,90
3003,nutmeg,B-FOOD,90
3004,1,B-QUANTITY,90
3005,pinch,B-UNIT,90
3006,ground,B-PROCESS,90
3007,cinnamon,B-FOOD,90
3008,ounce,B-UNIT,90
3009,can,B-UNIT,90
3010,cherry,B-FOOD,90
3011,pie,I-FOOD,90
3012,cheddar,B-FOOD,90
3013,cheese,I-FOOD,90
3014,cups,B-UNIT,90
3015,cooked,B-PROCESS,90
3016,vegetables,B-FOOD,90
3017,28,B-QUANTITY,91
3018,ounces,B-UNIT,91
3019,tomatillos,B-FOOD,91
3020,1,B-QUANTITY,91
3021,bunch,B-UNIT,91
3022,cilantro,B-FOOD,91
3023,remove,B-PROCESS,91
3024,stems,I-PROCESS,91
3025,jalapeno,B-FOOD,91
3026,sliced,B-PROCESS,91
3027,8,B-QUANTITY,91
3028,jalapeno,B-FOOD,91
3029,slices,B-UNIT,91
3030,from,B-FOOD,91
3031,jarred,I-FOOD,91
3032,cup,B-UNIT,91
3033,sugar,B-FOOD,91
3034,1/3,B-QUANTITY,91
3035,cup,B-UNIT,91
3036,1,B-QUANTITY,91
3037,teaspoon,B-UNIT,91
3038,garlic,B-FOOD,91
3039,salt,I-FOOD,91
3040,1,B-QUANTITY,91
3041,pinch,B-UNIT,91
3042,ground,B-PROCESS,91
3043,cinnamon,B-FOOD,91
3044,ounce,B-UNIT,91
3045,can,B-UNIT,91
3046,cherry,B-FOOD,91
3047,pie,I-FOOD,91
3048,cheddar,B-FOOD,91
3049,cheese,I-FOOD,91
3050,cups,B-UNIT,91
3051,cooked,B-PROCESS,91
3052,vegetables,B-FOOD,91
3053,8,B-QUANTITY,92
3054,yukon,B-FOOD,92
